ds,y
2015-05-01,94
2015-05-02,6
2015-05-03,2
2015-05-04,4
2015-05-05,3
2015-05-06,6
2015-05-07,6
2015-05-08,9
2015-05-09,5
2015-05-10,6
2015-05-11,6
2015-05-12,6
2015-05-13,12
2015-05-14,9
2015-05-15,7
2015-05-16,11
2015-05-17,4
2015-05-18,8
2015-05-19,13
2015-05-20,3
2015-05-21,2
2015-05-22,4
2015-05-23,4
2015-05-24,3
2015-05-25,5
2015-05-26,7
2015-05-27,5
2015-05-28,15
2015-05-29,5
2015-05-30,6
2015-05-31,13
2015-06-01,7
2015-06-02,7
2015-06-03,4
2015-06-04,2
2015-06-05,11
2015-06-06,2
2015-06-07,8
2015-06-08,7
2015-06-09,2
2015-06-10,3
2015-06-11,2
2015-06-12,9
2015-06-13,5
2015-06-14,6
2015-06-16,1
2015-06-17,7
2015-06-18,6
2015-06-19,5
2015-06-20,4
2015-06-21,2017
2015-06-22,4242
2015-06-23,3529
2015-06-24,3444
2015-06-25,3365
2015-06-26,3314
2015-06-27,3495
2015-06-28,3127
2015-06-29,3349
2015-06-30,3312
2015-07-01,3444
2015-07-02,3066
2015-07-03,3297
2015-07-04,3360
2015-07-05,3475
2015-07-06,3566
2015-07-07,3383
2015-07-08,102
2015-07-11,3136
2015-07-12,2759
2015-07-13,3025
2015-07-14,2790
2015-07-15,2555
2015-07-16,2985
2015-07-17,3039
2015-07-18,2399
2015-07-19,2664
2015-07-20,2892
2015-07-21,3106
2015-07-22,2880
2015-07-23,3079
2015-07-24,3587
2015-07-25,3308
2015-07-26,3018
2015-07-27,3285
2015-07-28,3228
2015-07-29,2927
2015-07-30,3250
2015-07-31,3675
2015-08-01,3403
2015-08-02,3270
2015-08-03,3314
2015-08-04,3503
2015-08-05,3725
2015-08-06,3626
2015-08-07,3750
2015-08-08,3267
2015-08-09,3133
2015-08-10,3011
2015-08-11,2895
2015-08-12,2556
2015-08-13,2949
2015-08-14,2877
2015-08-15,2389
2015-08-16,3035
2015-08-17,2885
2015-08-18,2458
2015-08-19,2792
2015-08-20,2699
2015-08-21,3391
2015-08-22,3177
2015-08-23,2998
2015-08-24,3827
2015-08-25,3211
2015-08-26,2765
2015-08-27,2991
2015-08-28,3031
2015-08-29,3224
2015-08-30,3075
2015-08-31,3354
2015-09-01,3093
2015-09-02,3049
2015-09-03,3116
2015-09-04,3525
2015-09-05,3696
2015-09-06,3443
2015-09-07,3554
2015-09-08,3409
2015-09-09,3252
2015-09-10,3542
2015-09-11,3006
2015-09-12,2729
2015-09-13,2877
2015-09-14,2767
2015-09-15,2505
2015-09-16,2817
2015-09-17,2947
2015-09-18,2705
2015-09-19,2686
2015-09-20,2607
2015-09-21,3085
2015-09-22,3272
2015-09-23,2755
2015-09-24,3259
2015-09-25,3342
2015-09-26,3136
2015-09-27,3249
2015-09-28,3168
2015-09-29,2877
2015-09-30,3020
2015-10-01,3115
2015-10-02,3145
2015-10-03,3502
2015-10-04,2959
